orf,localization,GPI,First signal position,SRP dependent,Loop,ORF length (codons),Signal to stop codon length,Pronounced direct SRP binding,Position of direct SRP binding,SRP binding unambiguously assigned,SRP prerecruitment
YJR013W,TMD,No,7,Dependent,No,403,396,No,,,Yes
YJR014W,Cytonuclear,No,,,,198,,,,,
YJR015W,TMD,No,88,,No,510,422,Yes,144,Yes,Yes
YJR016C,mito,No,,,,585,,,,,
YJR017C,Cytonuclear,No,,,,170,,,,,
YJR019C,mito,No,,,,349,,,,,
YJR021C,Cytonuclear,No,,,,314,,,,,
YJR022W,Cytonuclear,No,,,,109,,,,,
YJR024C,Cytonuclear,No,,,,244,,,,,
YJR025C,Cytonuclear,No,,,,177,,,,,
YJR026W,Cytonuclear,No,,,,440,,,,,
YJR027W,Cytonuclear,No,,,,1755,,,,,
YJR028W,Cytonuclear,No,,,,440,,,,,
YJR029W,Cytonuclear,No,,,,1755,,,,,
YJR030C,Cytonuclear,No,,,,745,,,,,
YJR031C,Exception,No,,,,1408,,,,,
YJR032W,Cytonuclear,No,,,,393,,,,,
YJR033C,Cytonuclear,No,,,,1357,,,,,
YJR034W,Cytonuclear,No,,,,108,,,,,
YJR035W,Cytonuclear,No,,,,1085,,,,,
YJR036C,Exception,No,,,,892,,,,,
YJR039W,Cytonuclear,No,,,,1121,,,,,
YJR040W,TMD,No,75,,Yes,779,704,Yes,206,No,Yes
YJR041C,Cytonuclear,No,,,,1174,,,,,
YJR042W,Cytonuclear,No,,,,744,,,,,
YJR043C,Cytonuclear,No,,,,350,,,,,
YJR044C,TMD,No,12,Dependent,No,140,128,Yes,69,No,Yes
YJR045C,Cytonuclear,No,,,,654,,,,,
YJR046W,Cytonuclear,No,,,,604,,,,,
YJR047C,Cytonuclear,No,,,,157,,,,,
YJR048W,Cytonuclear,No,,,,109,,,,,
YJR049C,Cytonuclear,No,,,,530,,,,,
YJR050W,Cytonuclear,No,,,,235,,,,,
YJR051W,mito,No,,,,501,,,,,
YJR052W,Cytonuclear,No,,,,565,,,,,
YJR053W,Cytonuclear,No,,,,574,,,,,
YJR054W,TMD,No,31,Dependent,,497,466,No,,,Yes
YJR055W,Cytonuclear,No,,,,164,,,,,
YJR056C,Cytonuclear,No,,,,236,,,,,
YJR057W,Cytonuclear,No,,,,216,,,,,
YJR058C,Cytonuclear,No,,,,147,,,,,
YJR059W,Cytonuclear,No,,,,818,,,,,
YJR060W,Cytonuclear,No,,,,351,,,,,
YJR061W,Exception,No,,,,935,,,,,
YJR062C,mito,No,,,,457,,,,,
YJR063W,Cytonuclear,No,,,,125,,,,,
YJR064W,Cytonuclear,No,,,,562,,,,,
YJR065C,Cytonuclear,No,,,,449,,,,,
YJR066W,Exception,No,,,,2470,,,,,
YJR067C,Cytonuclear,No,,,,141,,,,,
YJR068W,Cytonuclear,No,,,,353,,,,,
YJR069C,Cytonuclear,No,,,,197,,,,,
YJR070C,Cytonuclear,No,,,,325,,,,,
YJR072C,Cytonuclear,No,,,,385,,,,,
YJR073C,Exception,No,,Independent,No,206,,,,,
YJR074W,Cytonuclear,No,,,,218,,,,,
YJR075W,SS,No,14,Independent,No,396,382,No,,,Yes
YJR076C,Cytonuclear,No,,,,415,,,,,
YJR077C,mito,No,,,,311,,,,,
YJR078W,Cytonuclear,No,,,,453,,,,,
YJR079W,Cytonuclear,No,,,,109,,,,,
YJR080C,mito,No,,,,394,,,,,
YJR082C,Cytonuclear,No,,,,113,,,,,
YJR083C,Cytonuclear,No,,,,309,,,,,
YJR084W,Cytonuclear,No,,,,423,,,,,
YJR085C,mito,No,,,,105,,,,,
YJR086W,Cytonuclear,No,,,,110,,,,,
YJR088C,Cytonuclear,No,,,,292,,,,,
YJR089W,Cytonuclear,No,,,,954,,,,,
YJR090C,Cytonuclear,No,,,,1151,,,,,
YJR091C,Cytonuclear,No,,,,1091,,,,,
YJR092W,Cytonuclear,No,,,,1447,,,,,
YJR093C,Cytonuclear,No,,,,327,,,,,
YJR094C,Cytonuclear,No,,,,360,,,,,
YJR094W-A,Cytonuclear,No,,,,92,,,,,
YJR095W,Exception,No,,,,322,,,,,
YJR096W,Cytonuclear,No,,,,282,,,,,
YJR097W,Cytonuclear,No,,,,172,,,,,
YJR098C,Cytonuclear,No,,,,656,,,,,
YJR099W,Cytonuclear,No,,,,236,,,,,
YJR100C,Cytonuclear,No,,,,327,,,,,
YJR101W,mito,No,,,,266,,,,,
YJR102C,Cytonuclear,No,,,,202,,,,,
YJR103W,Exception,No,,,,578,,,,,
YJR104C,Cytonuclear,No,,,,154,,,,,
YJR105W,Cytonuclear,No,,,,340,,,,,
YJR106W,TMD,No,20,Dependent,,725,705,Yes,76,Yes,Yes
YJR107W,Cytonuclear,No,,,,328,,,,,
YJR108W,Exception,No,,,,123,,,,,
YJR109C,Cytonuclear,No,,,,1118,,,,,
YJR110W,Cytonuclear,No,,,,688,,,,,
YJR111C,mito,No,,,,283,,,,,
YJR112W,Cytonuclear,No,,,,201,,,,,
YJR112W-A,Exception,No,,Dependent,,109,,,,,
YJR113C,mito,No,,,,247,,,,,
YJR115W,Cytonuclear,No,,,,169,,,,,
YJR116W,TMD,No,34,Dependent,No,279,245,Yes,166,No,Yes
YJR117W,Exception,No,,Dependent,Yes,453,,,,,
YJR118C,Exception,No,,Independent,No,203,,,,,
YJR119C,Cytonuclear,No,,,,728,,,,,
YJR120W,Cytonuclear,No,,,,116,,,,,
YJR121W,mito,No,,,,511,,,,,
YJR122W,mito,No,,,,497,,,,,
YJR123W,Cytonuclear,No,,,,225,,,,,
YJR124C,TMD,No,18,Dependent,No,448,430,No,,,Yes
YJR125C,Cytonuclear,No,,,,408,,,,,
YJR126C,TMD,No,90,,,811,721,No,,,Yes
YJR127C,Exception,No,,,,1380,,,,,
YJR129C,Cytonuclear,No,,,,339,,,,,
YJR130C,Cytonuclear,No,,,,639,,,,,
YJR131W,TMD,No,5,Dependent,No,549,544,No,,,Yes
YJR132W,Cytonuclear,No,,,,1048,,,,,
YJR133W,Cytonuclear,No,,,,209,,,,,
YJR134C,Cytonuclear,No,,,,707,,,,,
YJR135C,Cytonuclear,No,,,,239,,,,,
YJR135W-A,Cytonuclear,No,,,,87,,,,,
YJR136C,Cytonuclear,No,,,,421,,,,,
YJR137C,Exception,No,,,,1442,,,,,
YJR138W,Cytonuclear,No,,,,1584,,,,,
YJR139C,Exception,No,,,,359,,,,,
YJR140C,Exception,No,,,,1648,,,,,
YJR141W,Cytonuclear,No,,,,347,,,,,
YJR142W,Cytonuclear,No,,,,342,,,,,
YJR143C,Exception,No,,Dependent,No,762,,,,,
YJR144W,mito,No,,,,269,,,,,
YJR145C,Cytonuclear,No,,,,261,,,,,
YJR146W,Cytonuclear,No,,,,117,,,,,
YJR147W,Cytonuclear,No,,,,358,,,,,
YJR148W,Cytonuclear,No,,,,376,,,,,
YJR149W,Cytonuclear,No,,,,404,,,,,
YJR150C,SS,No,4,Independent,,298,294,,,,
YJR151C,SS,Yes,4,Independent,,1161,1157,,,,
YJR151W-A,Cytonuclear,No,,,,16,,,,,
YJR152W,TMD,No,84,,,543,459,,,,
YJR153W,SS,No,7,Independent,,361,354,,,,
YJR154W,Cytonuclear,No,,,,346,,,,,
YJR155W,Cytonuclear,No,,,,288,,,,,
YJR156C,Cytonuclear,No,,,,340,,,,,
YJR158W,TMD,No,54,Dependent,,567,513,,,,
YJR159W,Cytonuclear,No,,,,350,,,,,
YJR160C,TMD,No,101,,,602,501,,,,
YJR161C,Exception,No,,Dependent,,383,,,,,
YKL001C,Cytonuclear,No,,,,202,,,,,
YKL002W,Cytonuclear,No,,,,232,,,,,
YKL003C,mito,No,,,,131,,,,,
YKL004W,TMD,No,44,Dependent,No,401,357,Yes,112,No,Yes
YKL005C,Cytonuclear,No,,,,594,,,,,
YKL006C-A,TA,No,75,,,97,22,,,,
YKL006W,Cytonuclear,No,,,,138,,,,,
YKL007W,Cytonuclear,No,,,,268,,,,,
YKL008C,TMD,No,78,,No,418,340,Yes,172,No,Yes
YKL009W,Cytonuclear,No,,,,236,,,,,
YKL010C,Cytonuclear,No,,,,1483,,,,,
YKL011C,mito,No,,,,353,,,,,
YKL012W,Cytonuclear,No,,,,583,,,,,
YKL013C,Cytonuclear,No,,,,171,,,,,
YKL014C,Cytonuclear,No,,,,1764,,,,,
YKL015W,Exception,No,,,,979,,,,,
YKL016C,mito,No,,,,174,,,,,
YKL017C,Cytonuclear,No,,,,683,,,,,
YKL018C-A,Exception,No,,,,99,,,,,
YKL018W,Cytonuclear,No,,,,329,,,,,
YKL019W,Cytonuclear,No,,,,316,,,,,
YKL020C,TMD,No,1006,,,1082,76,Yes,1068,Yes,Yes
YKL021C,Exception,No,,,,468,,,,,
YKL022C,Cytonuclear,No,,,,840,,,,,
YKL023C-A,TA,No,46,Dependent,No,75,29,,,,
YKL023W,Cytonuclear,No,,,,277,,,,,
YKL024C,Cytonuclear,No,,,,204,,,,,
YKL025C,Cytonuclear,No,,,,679,,,,,
YKL026C,Cytonuclear,No,,,,167,,,,,
YKL027W,mito,No,,,,447,,,,,
YKL028W,TMD,No,19,,,482,463,,,,
YKL029C,mito,No,,,,669,,,,,
YKL032C,Cytonuclear,No,,,,597,,,,,
YKL033W,Cytonuclear,No,,,,1038,,,,,
YKL033W-A,Cytonuclear,No,,,,236,,,,,
YKL034W,SSTMD,No,8,Dependent,,758,750,Yes,93,Yes,Yes
YKL035W,Cytonuclear,No,,,,499,,,,,
YKL037W,TMD,No,10,,,118,108,,,,
YKL038W,Exception,No,,,,1170,,,,,
YKL039W,SSTMD,No,10,Independent,No,523,513,No,,,Yes
YKL040C,mito,No,,,,256,,,,,
YKL041W,Cytonuclear,No,,,,224,,,,,
YKL042W,Cytonuclear,No,,,,363,,,,,
YKL043W,Cytonuclear,No,,,,366,,,,,
YKL044W,Exception,No,,,,106,,,,,
YKL045W,Cytonuclear,No,,,,528,,,,,
YKL046C,SS,Yes,6,Independent,Yes,449,443,No,,,Yes
YKL047W,Exception,No,,,,516,,,,,
YKL048C,Cytonuclear,No,,,,640,,,,,
YKL049C,Cytonuclear,No,,,,229,,,,,
YKL050C,Cytonuclear,No,,,,922,,,,,
YKL051W,TMD,No,12,Dependent,No,353,341,Yes,71,Yes,Yes
YKL052C,Cytonuclear,No,,,,292,,,,,
YKL053C-A,Cytonuclear,No,,,,86,,,,,
YKL054C,Cytonuclear,No,,,,738,,,,,
YKL055C,mito,No,,,,278,,,,,
YKL056C,Cytonuclear,No,,,,167,,,,,
YKL057C,Cytonuclear,No,,,,1037,,,,,
YKL058W,Cytonuclear,No,,,,122,,,,,
YKL059C,Cytonuclear,No,,,,441,,,,,
YKL060C,Cytonuclear,No,,,,359,,,,,
YKL061W,Cytonuclear,No,,,,113,,,,,
YKL062W,Cytonuclear,No,,,,630,,,,,
YKL063C,TMD,No,36,Dependent,No,167,131,No,,,No
YKL064W,Exception,No,,,,969,,,,,
YKL065C,TMD,No,5,Dependent,No,206,201,Yes,75,No,Yes
YKL065W-A,TA,No,36,Dependent,,73,37,,,,
YKL067W,Cytonuclear,No,,,,153,,,,,
YKL068W,Cytonuclear,No,,,,959,,,,,
YKL068W-A,Cytonuclear,No,,,,78,,,,,
YKL069W,Cytonuclear,No,,,,180,,,,,
YKL070W,Cytonuclear,No,,,,169,,,,,
YKL071W,Cytonuclear,No,,,,256,,,,,
YKL072W,Cytonuclear,No,,,,766,,,,,
YKL073W,SS,No,7,Independent,No,881,874,No,,,Yes
YKL074C,Cytonuclear,No,,,,527,,,,,
YKL075C,Cytonuclear,No,,,,450,,,,,
YKL077W,SSTMD,No,6,Independent,Yes,392,386,No,,,Yes
YKL078W,Cytonuclear,No,,,,735,,,,,
YKL079W,Cytonuclear,No,,,,656,,,,,
YKL080W,Cytonuclear,No,,,,392,,,,,
YKL081W,Cytonuclear,No,,,,412,,,,,
YKL082C,Cytonuclear,No,,,,434,,,,,
YKL084W,Cytonuclear,No,,,,116,,,,,
YKL085W,mito,No,,,,334,,,,,
YKL086W,Cytonuclear,No,,,,127,,,,,
YKL087C,Cytonuclear,No,,,,224,,,,,
YKL088W,Cytonuclear,No,,,,571,,,,,
YKL089W,Cytonuclear,No,,,,549,,,,,
YKL090W,Cytonuclear,No,,,,443,,,,,
YKL091C,Cytonuclear,No,,,,310,,,,,
YKL092C,Exception,No,,,,1104,,,,,
YKL093W,Cytonuclear,No,,,,339,,,,,
YKL094W,Cytonuclear,No,,,,313,,,,,
YKL095W,Cytonuclear,No,,,,278,,,,,
YKL096C-B,TA,No,31,Dependent,,49,18,,,,
YKL096W,SS,Yes,4,Independent,Yes,239,235,No,,,No
YKL096W-A,SS,Yes,4,Independent,No,92,88,No,,,Yes
YKL098W,Cytonuclear,No,,,,357,,,,,
YKL099C,Cytonuclear,No,,,,250,,,,,
YKL100C,TMD,No,79,,No,587,508,No,,,Yes
YKL101W,Cytonuclear,No,,,,1518,,,,,
YKL103C,Cytonuclear,No,,,,514,,,,,
YKL104C,Cytonuclear,No,,,,717,,,,,
YKL105C,Exception,No,,,,1132,,,,,
YKL106C-A,Cytonuclear,No,,,,39,,,,,
YKL106W,mito,No,,,,451,,,,,
YKL107W,Cytonuclear,No,,,,309,,,,,
YKL108W,Cytonuclear,No,,,,453,,,,,
YKL109W,Cytonuclear,No,,,,554,,,,,
YKL110C,Cytonuclear,No,,,,313,,,,,
YKL112W,Cytonuclear,No,,,,731,,,,,
YKL113C,Cytonuclear,No,,,,382,,,,,
YKL114C,mito,No,,,,367,,,,,
YKL116C,Cytonuclear,No,,,,518,,,,,
YKL117W,Cytonuclear,No,,,,216,,,,,
YKL119C,TMD,No,135,,No,215,80,Yes,194,No,No
YKL120W,mito,No,,,,324,,,,,
YKL121W,Cytonuclear,No,,,,852,,,,,
YKL122C,Cytonuclear,No,,,,167,,,,,
YKL124W,TMD,No,45,Dependent,,579,534,Yes,103,Yes,No
YKL125W,Cytonuclear,No,,,,627,,,,,
YKL126W,Cytonuclear,No,,,,680,,,,,
YKL127W,Cytonuclear,No,,,,570,,,,,
YKL128C,Cytonuclear,No,,,,295,,,,,
YKL129C,Cytonuclear,No,,,,1272,,,,,
YKL130C,Cytonuclear,No,,,,246,,,,,
YKL132C,Cytonuclear,No,,,,430,,,,,
YKL133C,TMD,No,54,,,463,409,,,,
YKL134C,mito,No,,,,772,,,,,
YKL135C,Cytonuclear,No,,,,726,,,,,
YKL137W,Cytonuclear,No,,,,111,,,,,
YKL138C,mito,No,,,,131,,,,,
YKL138C-A,Cytonuclear,No,,,,69,,,,,
YKL139W,Cytonuclear,No,,,,528,,,,,
YKL140W,Exception,No,,Dependent,No,548,,,,,
YKL141W,Exception,No,,,,198,,,,,
YKL142W,Cytonuclear,No,,,,219,,,,,
YKL143W,Cytonuclear,No,,,,463,,,,,
YKL144C,Cytonuclear,No,,,,212,,,,,
YKL145W,Cytonuclear,No,,,,467,,,,,
YKL146W,Exception,No,,,No,692,,,,,
YKL148C,Exception,No,,,,640,,,,,
YKL149C,Cytonuclear,No,,,,405,,,,,
YKL150W,mito,No,,,,302,,,,,
YKL151C,Cytonuclear,No,,,,337,,,,,
YKL152C,Cytonuclear,No,,,,247,,,,,
YKL154W,SS,No,5,Dependent,No,244,239,No,,,Yes
YKL155C,mito,No,,,,628,,,,,
YKL156W,Cytonuclear,No,,,,82,,,,,
YKL157W,mito,No,,,,952,,,,,
YKL159C,Cytonuclear,No,,,,211,,,,,
YKL160W,Cytonuclear,No,,,,145,,,,,
YKL161C,Cytonuclear,No,,,,433,,,,,
YKL162C,mito,No,,,,402,,,,,
YKL163W,SS,No,7,Independent,,325,318,,,,
YKL164C,SS,No,6,Independent,Yes,341,335,,,,
YKL165C,TMD,No,7,Dependent,No,919,912,No,,,Yes
YKL166C,Cytonuclear,No,,,,398,,,,,
YKL167C,mito,No,,,,137,,,,,
YKL168C,Cytonuclear,No,,,,724,,,,,
YKL170W,mito,No,,,,138,,,,,
YKL171W,Exception,No,,,,928,,,,,
YKL172W,Cytonuclear,No,,,,427,,,,,
YKL173W,Cytonuclear,No,,,,1008,,,,,
YKL174C,TMD,No,61,,Yes,618,557,No,,,Yes
YKL175W,TMD,No,7,Dependent,No,503,496,Yes,76,No,Yes
YKL176C,Exception,No,,,,828,,,,,
YKL178C,Exception,No,,Independent,,470,,,,,
YKL179C,TMD,No,614,,No,679,65,Yes,651,Yes,No
YKL180W,Cytonuclear,No,,,,184,,,,,
YKL181W,Cytonuclear,No,,,,427,,,,,
YKL182W,Cytonuclear,No,,,,2051,,,,,
YKL183C-A,TMD,No,12,Dependent,,70,58,,,,
YKL183W,Cytonuclear,No,,,,306,,,,,
YKL184W,Cytonuclear,No,,,,466,,,,,
YKL185W,Exception,No,,,,588,,,,,
YKL186C,Cytonuclear,No,,,,184,,,,,
YKL187C,TMD,No,13,,,750,737,,,,
YKL188C,Exception,No,,,,853,,,,,
YKL189W,Cytonuclear,No,,,,399,,,,,
YKL190W,Cytonuclear,No,,,,175,,,,,
YKL191W,Cytonuclear,No,,,,534,,,,,
YKL192C,mito,No,,,,125,,,,,
YKL193C,Cytonuclear,No,,,,338,,,,,
YKL194C,mito,No,,,,462,,,,,
YKL195W,mito,No,,,,403,,,,,
YKL196C,Cytonuclear,No,,,,200,,,,,
YKL197C,Cytonuclear,No,,,,1043,,,,,
YKL198C,Cytonuclear,No,,,,662,,,,,
YKL201C,TMD,No,27,Dependent,,1178,1151,,,,
YKL203C,Cytonuclear,No,,,,2474,,,,,
YKL204W,Cytonuclear,No,,,,632,,,,,
YKL205W,Cytonuclear,No,,,,1100,,,,,
YKL206C,Cytonuclear,No,,,,267,,,,,
YKL207W,TMD,No,8,Dependent,No,253,245,No,,,Yes
YKL208W,mito,No,,,,271,,,,,
YKL209C,TMD,No,26,Dependent,No,1290,1264,No,,,Yes
YKL210W,Cytonuclear,No,,,,1024,,,,,
YKL211C,Cytonuclear,No,,,,484,,,,,
YKL212W,TMD,No,522,,Yes,623,101,Yes,603,No,No
YKL213C,Cytonuclear,No,,,,715,,,,,
YKL214C,Cytonuclear,No,,,,203,,,,,
YKL215C,Cytonuclear,No,,,,1286,,,,,
YKL216W,Cytonuclear,No,,,,314,,,,,
YKL217W,TMD,No,141,,,616,475,,,,
YKL218C,Cytonuclear,No,,,,326,,,,,
YKL219W,Exception,No,,,,407,,,,,
YKL220C,SSTMD,No,4,Independent,,711,707,,,,
YKL221W,TMD,No,41,Dependent,,473,432,,,,
YKL222C,Exception,No,,,,705,,,,,
YKL224C,SS,No,4,Independent,,116,112,,,,
YKR001C,Cytonuclear,No,,,,704,,,,,
YKR002W,Exception,No,,,,568,,,,,
YKR003W,Cytonuclear,No,,,,448,,,,,
YKR004C,Cytonuclear,No,,,,377,,,,,
YKR005C,SSTMD,No,4,Independent,,525,521,,,,
YKR006C,mito,No,,,,264,,,,,
YKR007W,Cytonuclear,No,,,,184,,,,,
YKR008W,Cytonuclear,No,,,,625,,,,,
YKR009C,Cytonuclear,No,,,,900,,,,,
YKR010C,Exception,No,,,,771,,,,,
YKR011C,Cytonuclear,No,,,,353,,,,,
YKR013W,SS,No,6,Independent,Yes,329,323,No,,,No
YKR014C,Cytonuclear,No,,,,234,,,,,
YKR015C,Cytonuclear,No,,,,568,,,,,
YKR016W,mito,No,,,,540,,,,,
YKR017C,Cytonuclear,No,,,,551,,,,,
YKR018C,Exception,No,,,,725,,,,,
YKR019C,Cytonuclear,No,,,,615,,,,,
YKR020W,Cytonuclear,No,,,,164,,,,,
YKR021W,Cytonuclear,No,,,,915,,,,,
YKR022C,Cytonuclear,No,,,,322,,,,,
YKR023W,Cytonuclear,No,,,,530,,,,,
YKR024C,Cytonuclear,No,,,,742,,,,,
YKR025W,Cytonuclear,No,,,,282,,,,,
YKR026C,Cytonuclear,No,,,,305,,,,,
YKR027W,Cytonuclear,No,,,,765,,,,,
YKR028W,Cytonuclear,No,,,,1033,,,,,
YKR029C,Cytonuclear,No,,,,751,,,,,
YKR030W,TMD,No,92,,No,273,181,Yes,181,No,Yes
YKR031C,Cytonuclear,No,,,,1683,,,,,
YKR034W,Cytonuclear,No,,,,269,,,,,
YKR035W-A,Cytonuclear,No,,,,204,,,,,
YKR036C,mito,No,,,,643,,,,,
YKR037C,Cytonuclear,No,,,,295,,,,,
YKR038C,Cytonuclear,No,,,,386,,,,,
YKR039W,TMD,No,95,,Yes,602,507,Yes,263,No,Yes
YKR041W,Cytonuclear,No,,,,250,,,,,
YKR042W,SS,No,3,Independent,Yes,365,362,No,,,No
YKR043C,Cytonuclear,No,,,,271,,,,,
YKR044W,SSTMD,No,10,Dependent,,443,433,Yes,71,Yes,Yes
YKR045C,Cytonuclear,No,,,,183,,,,,
YKR046C,Cytonuclear,No,,,,283,,,,,
YKR048C,Cytonuclear,No,,,,417,,,,,
YKR049C,mito,No,,,,133,,,,,
YKR050W,Exception,No,,Dependent,,889,,,,,
YKR051W,Exception,No,,Dependent,,418,,,,,
YKR052C,mito,No,,,,304,,,,,
YKR053C,TMD,No,81,,,404,323,,,,
YKR054C,Exception,No,,,,4092,,,,,
YKR055W,Cytonuclear,No,,,,291,,,,,
YKR056W,Cytonuclear,No,,,,639,,,,,
YKR057W,Cytonuclear,No,,,,87,,,,,
YKR058W,SS,No,5,,,616,611,,,,
YKR059W,Cytonuclear,No,,,,395,,,,,
YKR060W,Cytonuclear,No,,,,274,,,,,
YKR061W,SS,No,14,Independent,,425,411,,,,
YKR062W,Cytonuclear,No,,,,328,,,,,
YKR063C,Cytonuclear,No,,,,502,,,,,
YKR064W,Cytonuclear,No,,,,863,,,,,
YKR065C,mito,No,,,,197,,,,,
YKR066C,mito,No,,,,361,,,,,
YKR067W,Exception,No,,Dependent,No,743,,,,,
YKR068C,Cytonuclear,No,,,,193,,,,,
YKR069W,SS,No,5,,,593,588,,,,
YKR070W,mito,No,,,,352,,,,,
YKR071C,Cytonuclear,No,,,,348,,,,,
YKR072C,Cytonuclear,No,,,,562,,,,,
YKR074W,Cytonuclear,No,,,,155,,,,,
YKR075C,Cytonuclear,No,,,,307,,,,,
YKR076W,Cytonuclear,No,,,,370,,,,,
YKR077W,Cytonuclear,No,,,,363,,,,,
YKR078W,Cytonuclear,No,,,,585,,,,,
YKR079C,Cytonuclear,No,,,,838,,,,,
YKR080W,Cytonuclear,No,,,,320,,,,,
YKR081C,Cytonuclear,No,,,,344,,,,,
YKR082W,Cytonuclear,No,,,,1157,,,,,
YKR083C,Cytonuclear,No,,,,133,,,,,
YKR084C,Cytonuclear,No,,,,611,,,,,
YKR085C,mito,No,,,,195,,,,,
YKR086W,Cytonuclear,No,,,,1071,,,,,
YKR087C,mito,No,,,,345,,,,,
YKR088C,TMD,No,93,,No,337,244,Yes,149,No,Yes
YKR089C,Exception,No,,,,910,,,,,
YKR090W,Cytonuclear,No,,,,706,,,,,
YKR091W,Cytonuclear,No,,,,246,,,,,
YKR092C,Cytonuclear,No,,,,406,,,,,
YKR093W,Exception,No,,,No,601,,,,,
YKR094C,Cytonuclear,No,,,,128,,,,,
YKR095W,Cytonuclear,No,,,,1875,,,,,
YKR095W-A,Cytonuclear,No,,,,88,,,,,
YKR096W,Exception,No,,,,1195,,,,,
YKR097W,Cytonuclear,No,,,,549,,,,,
YKR098C,Exception,No,,,,717,,,,,
YKR099W,Cytonuclear,No,,,,811,,,,,
YKR100C,TMD,No,6,Dependent,No,355,349,No,,,Yes
YKR101W,Cytonuclear,No,,,,654,,,,,
YKR102W,SS,Yes,8,Independent,,1169,1161,,,,
YKR103W,Exception,No,,Dependent,,1218,,,,,
YKR104W,Cytonuclear,No,,,,306,,,,,
YKR105C,TMD,No,34,Dependent,,582,548,,,,
YKR106W,TMD,No,58,Dependent,,608,550,,,,
YLL001W,mito,No,,,,757,,,,,
YLL002W,Cytonuclear,No,,,,436,,,,,
YLL003W,Cytonuclear,No,,,,946,,,,,
YLL004W,Cytonuclear,No,,,,616,,,,,
YLL005C,TMD,No,34,Dependent,,868,834,,,,
YLL006W,mito,No,,,,426,,,,,
YLL006W-A,TA,No,12,Dependent,,58,46,,,,
YLL007C,Cytonuclear,No,,,,665,,,,,
YLL008W,Cytonuclear,No,,,,752,,,,,
YLL009C,Cytonuclear,No,,,,69,,,,,
YLL010C,Exception,No,,,,427,,,,,
YLL011W,Cytonuclear,No,,,,489,,,,,
YLL012W,Exception,No,,,,573,,,,,
YLL013C,Exception,No,,,,879,,,,,
YLL014W,TMD,No,24,Dependent,No,108,84,Yes,106,No,No
YLL015W,TMD,No,24,Dependent,,1559,1535,Yes,167,No,Yes
YLL018C,Cytonuclear,No,,,,557,,,,,
YLL018C-A,Cytonuclear,No,,,,98,,,,,
YLL019C,Cytonuclear,No,,,,737,,,,,
YLL021W,Cytonuclear,No,,,,1466,,,,,
YLL022C,Cytonuclear,No,,,,385,,,,,
YLL023C,TMD,No,33,Dependent,No,279,246,No,,,Yes
YLL024C,Cytonuclear,No,,,,639,,,,,
YLL025W,SS,No,4,Independent,,124,120,,,,
YLL026W,Cytonuclear,No,,,,908,,,,,
YLL027W,mito,No,,,,250,,,,,
YLL028W,TMD,No,146,,No,586,440,Yes,252,No,Yes
YLL029W,Cytonuclear,No,,,,749,,,,,
YLL031C,TMD,No,34,Dependent,No,1017,983,Yes,98,Yes,Yes
YLL032C,Cytonuclear,No,,,,825,,,,,
YLL033W,Cytonuclear,No,,,,230,,,,,
YLL034C,Cytonuclear,No,,,,837,,,,,
YLL035W,Cytonuclear,No,,,,632,,,,,
YLL036C,Cytonuclear,No,,,,503,,,,,
YLL038C,Cytonuclear,No,,,,247,,,,,
YLL039C,Cytonuclear,No,,,,381,,,,,
YLL040C,Cytonuclear,No,,,,3144,,,,,
YLL041C,mito,No,,,,266,,,,,
YLL042C,Cytonuclear,No,,,,167,,,,,
YLL043W,TMD,No,256,,Yes,669,413,No,,,Yes
YLL045C,Cytonuclear,No,,,,256,,,,,
YLL046C,Cytonuclear,No,,,,249,,,,,
YLL048C,TMD,No,30,Dependent,No,1661,1631,Yes,87,Yes,Yes
YLL049W,Cytonuclear,No,,,,179,,,,,
YLL050C,Cytonuclear,No,,,,143,,,,,
YLL051C,SSTMD,No,4,Independent,,712,708,No,,,Yes
YLL052C,TMD,No,47,Independent,,149,102,,,,
YLL053C,Exception,No,,Dependent,,152,,,,,
YLL054C,Cytonuclear,No,,,,843,,,,,
YLL055W,TMD,No,55,Dependent,,531,476,,,,
YLL056C,Exception,No,,,,298,,,,,
YLL057C,Cytonuclear,No,,,,412,,,,,
YLL058W,Cytonuclear,No,,,,575,,,,,
YLL060C,Cytonuclear,No,,,,233,,,,,
YLL061W,TMD,No,77,,No,583,506,No,,,Yes
YLL062C,Cytonuclear,No,,,,324,,,,,
YLL063C,Cytonuclear,No,,,,474,,,,,
YLL064C,SS,No,4,Independent,,120,116,,,,
YLL066C,Exception,No,,,,1205,,,,,
YLL066W-B,Cytonuclear,No,,,,56,,,,,
YLL067C,Exception,No,,,,1198,,,,,
YLR001C,SSTMD,No,10,Independent,,862,852,No,,,Yes
YLR002C,Cytonuclear,No,,,,663,,,,,
YLR003C,Cytonuclear,No,,,,291,,,,,
YLR004C,TMD,No,80,,,523,443,,,,
YLR005W,Cytonuclear,No,,,,461,,,,,
YLR006C,Exception,No,,,,712,,,,,
YLR007W,Cytonuclear,No,,,,336,,,,,
YLR008C,Cytonuclear,No,,,,168,,,,,
YLR009W,Cytonuclear,No,,,,199,,,,,
YLR010C,Cytonuclear,No,,,,160,,,,,
YLR011W,Cytonuclear,No,,,,191,,,,,
YLR012C,Cytonuclear,No,,,,99,,,,,
YLR013W,Cytonuclear,No,,,,141,,,,,
YLR014C,Cytonuclear,No,,,,904,,,,,
